course_id,catalogue_id,course_name,course_name_short,department_name,course_description,units,grading_type,grade_requirement,prerequisites,corequisites,pre_co_requisites,misc_lab,GE_area,course_level,course_notes
114772,13,ADV 128 - Integrated Marketing Communications (IMC),ADV 128,ADV,"Learn how advertising, public relations, promotions, and marketing all work together to achieve campaign objectives. Strategic planning, budgeting, research, tactics, evaluation, presentation skills and team building.",3 unit(s),Letter Graded,C-,Three ADV courses and BUS2 130.,,,,,Upper,
114773,13,ADV 129 - Advertising Campaign Planning and Management,ADV 129,ADV,Capstone course in which students engage hands-on in the process and methods employed to develop a fully integrated advertising campaign based on the marketing objectives established by a real-world client.,3 unit(s),Letter Graded,C-,MCOM 111 or ADV 116.,,,,,Upper,
114774,13,ADV 192 - International Program Studies,ADV 192,ADV,"Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.",1-6 unit(s),Mixed Grading,C-,,,,,,Upper,
114775,13,ADV 92 - International Program Studies,ADV 92,ADV,"Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.",1-12 unit(s),Mixed Grading,C-,,,,,,Lower,
114776,13,ADV 93 - Design Fundamentals for Advertising 1,ADV 93,ADV,"Introduces students to the ideation and design process as it relates to advertising. Students learn design thinking, ideation techniques, print design, screen design, advertising formats and storytelling across media platforms.",3 unit(s),Letter Graded,C-,,,,,,Lower,
114777,13,ADV 95 - Working With Type,ADV 95,ADV,"Theory and practice of typography as they apply to graphics, advertising and other areas of visual communication. Through a series of projects students develop a greater sensitivity to typographic details to create successful typographic messages.",3 unit(s),Letter Graded,C-,,,,,,Lower,
114778,13,ADV 130 - Advertising Portfolio 1,ADV 130,ADV,"Apply fundamentals of design thinking, teamwork, and various media methods to creating a body of advertising work in the form of a portfolio. Students work on a series of projects and award show briefs in creative teams.",3 unit(s),Letter Graded,C-,"ADV 91, ADV 93, and ADV 94",,,,,Upper,
114779,13,ADV 131 - Advertising Portfolio 2,ADV 131,ADV,Students enhance portfolios developed in Advertising Portfolio 1 with more award show work and live client projects. Each brief requires development of technical skills across media platforms and production of professional work.,3 unit(s),Letter Graded,C-,"ADV 91, ADV 93, ADV 94, ADV 130",,,,,Upper,
114780,13,ADV 132 - UX UI Design for Advertising,ADV 132,ADV,"Human centered design process as it pertains to user interaction (UI) and user experience (UX) design. Students conduct basic user research to create personas that guide the development of content strategy, information architecture, feature sets, wireframes and annotations as they pertain to (1) large scale web development and (2) integrated campaign assignments that cover a wide range of interactive platforms.",3 unit(s),Letter Graded,C-,"ADV 91, ADV 93, and ADV 94",,,,,Upper,
114781,13,ADV 94 - Design Fundamentals for Advertising 2,ADV 94,ADV,"Introduction to digital video production and editing. Focus on learning how to tell a story by combining video and audio, story boarding, script writing, framing, creating a shot sequence, video editing and special effects using industry-standard software.",3 unit(s),Letter Graded,C-,ADV 93 and ADV 91,,,,,Lower,
114782,13,AE 110 - Space Systems Engineering,AE 110,AE,"Introduction to design, analysis and operation of spacecraft power, communications, attitude determination/control, structures, propulsion, thermal management systems. Typical payload systems design and operation, including remote Earth sensors. System integration issues. Lab experiments.",3 unit(s),Letter Graded,C-,\u201cC\u201d or better in (AE 100 or AE 165 ) or graduate standing.,,,,,Upper,
114783,13,AE 114 - Aerospace Structural Analysis II,AE 114,AE,"Aircraft, missile, spacecraft structural design and analysis. Static, elastic and stress analysis of structures. Structural materials. Deflection analysis of structural systems. Conventional, stiffened, sandwich and composite structures. Structural dynamics. Thermal effects.",3 unit(s),Letter Graded,C-,AE 112 or graduate standing.,,,,,Upper,
114784,13,AE 140 - Rigid Body Dynamics,AE 140,AE,Coordinate frames and descriptions of absolute and relative motion. General equations of rotational motion for single and multibody systems in Euler and Lagrangian formulations. Elasticity and dissipation effects. Spinning body motions. Impulsive motions. Applications to aerospace vehicles.,3 unit(s),Letter Graded,C-,\u201cC\u201d or better in AE 138 or graduate standing.,,,,,Upper,
114785,13,AE 162 - Aerodynamics II,AE 162,AE,"Two-dimensional and three-dimensional, incompressible and compressible potential flow theory. Airfoil and wing theory for subsonic, supersonic, and hypersonic flows. Flow visualization in a water tunnel. Lift and drag measurements in a subsonic wind tunnel.",3 unit(s),Letter Graded,C-,"\u201cC\u201d or better in ENGR 100W, MATH 33A and (AE 160 or ME 111 ) or graduate standing. Allowed Declared Majors: Aerospace Engineering, Mechanical Engineering.",,,,,Upper,
114786,13,AE 164 - Aerothermodynamics,AE 164,AE,"Thermodynamic laws. Shock and expansion waves with applications to supersonic airfoils and wings. Nozzle flow. Flow with heat addition and friction. Aerodynamic heating. Conduction, convection and radiative heat transfer.",5 unit(s),Letter Graded,C-,\u201cC\u201d or better in PHYS 52 and AE 160 or graduate standing,,,,,Upper,
114787,13,AE 165 - Aerospace Flight Mechanics,AE 165,AE,"Trajectory dynamics of atmospheric flight (aircraft and missiles) and spaceflight (orbital mechanics). Influence of vehicle design on trajectory. Aircraft static performance, stability and control. Rocket launch and re-entry dynamics. Computer simulations.",3 unit(s),Letter Graded,C-,\u201cC\u201d or better in (MATH 31 or MATH 31X ) and PHYS 50 or graduate standing.,,,,,Upper,
114788,13,AE 167 - Aerospace Propulsion,AE 167,AE,"Basic one-dimensional flows: isentropic, area change, heat addition. Overall performance characteristics of propellers, ramjets, turbojets, turbofans, rockets. Performance analysis of inlets, exhaust nozzles, compressors, burners, and turbines. Rocket flight performance, single-/multi-stage chemical rockets, liquid/solid propellants and design problems.",3 unit(s),Letter Graded,C-,"\u201cC\u201d or better in AE 160 and AE 164. Allowed Declared Majors: Engineering, Aerospace Engineering, Mechanical Engineering.",,,,,Upper,
114789,13,AE 168 - Aerospace Vehicle Dynamics and Control,AE 168,AE,"Aircraft/spacecraft dynamics, stability and control. Linearization and Euler transformations. Eigenvalues and eigenvectors. State space and transfer function analysis of dynamics of aerospace vehicles. Feedback control design and synthesis using advanced control techniques.",3 unit(s),Letter Graded,C-,"\u201cC\u201d or better in AE 140, AE 157, AE 165 and MATH 39 or graduate standing. Allowed Declared Majors: Aerospace Engineering.",,,,,Upper,
114790,13,HIST 189B - California History Since 1900,HIST 189B,HIST,"Topics include the Progressive movement, migration, immigration, growth, prosperity, depression, agriculture, industry, war, politics, protests, riots, environmentalism, nativism, and diversity.",4 unit(s),Letter Graded,C-,Upper division standing or instructor consent.,,,,American Institutions US3: California Government.,Upper,Satisfies American Institutions requirement in California government.
114791,13,POLS 102 - State Government and Politics,POLS 102,POLS,"This course examines the politics and institutions of U.S. state governments. The structure and powers of state legislatures, governors, and court systems are analyzed. The effect of states&#8217; racial, ideological, and economic characteristics on public policy is also explored.",4 unit(s),Letter Graded,C-,,,,,American Institutions US3: California Government.,Upper,Satisfies American Institutions requirement in California government.
114792,13,AE 180 - Individual Studies,AE 180,AE,Individual work on special topics. By arrangement.,1-3 unit(s),Letter Graded,C-,Upper division standing and instructor consent. Not available to Open University Students.,,,,,Upper,
114793,13,AE 242 - Orbital Mechanics and Mission Design,AE 242,AE,"Two-body problem, conic sections, time of flight. Gibb&#8217;s method of orbit determination, maneuver analysis for Earth orbiters and interplanetary flight. Euler-Hill equations. Mission design constraints on orbit geometry and launch window analysis.",3 unit(s),Letter Graded,C-,BS in Aerospace Engineering or instructor consent.,,,,,Upper,
114794,13,AE 243 - Advanced Astrodynamics,AE 243,AE,Analysis of spacecraft motion using different dynamic models and perturbations. Use of the state transition matrix and differential corrections technique for trajectory computation. Orbit determination and station-keeping methods. Introduction to the three-body problem. Application of computational and analytic methods to solve astrodynamic problems.,3 unit(s),Letter Graded,C-,BS in Aerospace Engineering or instructor consent.,,,,,Upper,
114795,13,AE 245 - Spacecraft Dynamics and Control,AE 245,AE,"Rigid body dynamics review. Attitude kinematical representations. Development and solution of general equations of motion. Single and dual-spin, zero and biased-momentum spacecraft. Control system design strategies. Common torquer elements. Computer simulations.",3 unit(s),Letter Graded,C-,BS in Aerospace Engineering or instructor consent.,,,,,Upper,
114796,13,AE 246 - Advanced Aircraft Stability and Control,AE 246,AE,"Natural longitudinal and lateral/directional motion of aircraft; mode shapes, eigenvalues, eigenvectors. Analysis and synthesis of various aircraft autopilots using classical and state space formulations.",3 unit(s),Letter Graded,C-,BS in Aerospace Engineering or instructor consent.,,,,,Upper,
114797,13,AE 250 - Advanced Structures and Materials,AE 250,AE,"Design and analysis of modern flight structures including static and dynamic structural response; materials design including metals, alloys, composites. Introduction to modern computational methods including finite elements.",3 unit(s),Letter Graded,C-,BS in Aerospace Engineering or instructor consent.,,,,,Upper,
114798,13,AE 262 - Advanced Aerodynamics,AE 262,AE,"Thin airfoil theory. Prandtl&#8217;s lifting-line theory. Subsonic and supersonic airfoil and wing theory. High-angle of attack aerodynamics. Boundary layer theory; Blasius and Falkner-Skan solutions, compressible boundary layers, turbulent flows, separation criteria.",3 unit(s),Letter Graded,C-,BS in Aerospace Engineering or instructor consent.,,,,,Upper,
114799,13,AE 267 - Space Propulsion Systems,AE 267,AE,"Rocket propulsion fundamentals. propulsion requirements for: multi-stage launch; orbit establishment, maneuvers and maintenance; spacecraft attitude control. Nozzle flow, thermochemical calculation of performance. Design and performance calculations for systems and components of chemical rockets (liquid, solid, hybrid), electric rockets and advanced concepts.",3 unit(s),Letter Graded,C-,BS in Aerospace Engineering or BS in Mechanical Engineering or instructor consent.,,,,,Upper,
114800,13,AE 295A - Aerospace Engineering Masters Project I,AE 295A,AE,"This is a first-semester aerospace engineering Master&#8217;s Project supervision course. Students perform original, graduate level research or design or development, involving aerospace systems under the supervision of an aerospace engineering faculty member or engineers from NASA / aerospace industry.",3 unit(s),Letter Graded,C-,Admission to candidacy for the master\u2019s degree and a written proposal approved by the instructor and the Graduate Coordinator. Not available to Open University Students.,,,,,Upper,
114801,13,AE 295B - Aerospace Engineering Masters Project II,AE 295B,AE,"This is a second-semester aerospace engineering Master&#8217;s Project supervision course, following AE295A. Students perform original, graduate level research and/or design and/or development, involving aerospace systems or subsystems under the supervision of an aerospace engineering faculty member and/or engineers from NASA / aerospace industry.",3 unit(s),Letter Graded,C-,\u201cB\u201d or better in AE 295A.,,,,,Upper,
114802,13,AE 299 - Aerospace Engineering Masters Thesis,AE 299,AE,Master&#8217;s thesis work in aerospace engineering.,3 unit(s),Mandatory Credit/No Credit/RP,C-,\u201cCR\u201d in 1st semester to continue in 2nd semester.,,,,,Upper,
114803,13,AE 298 - Special Projects in Aerospace Engineering,AE 298,AE,Advanced individual work in Aerospace Engineering.,1-3 unit(s),Mandatory Credit/No Credit/RP,C-,Instructor consent.,,,,,Upper,
114804,13,AE 169 - Computational Fluid Dynamics,AE 169,AE,"Physical and mathematical foundations of computational fluid mechanics with emphasis on applications. Solution methods for the advection, diffusion model equations, the Euter and the Navier-Stokes equations. The finite volume formulation of the equations. Classification of partial differential equations and solution techniques. Truncation errors, stability analysis.",3 unit(s),Letter Graded,C-,\u201cC\u201d or better in MATH 39 and (AE 160 or ME 111 ) or graduate standing.,,,,,Upper,
114805,13,AE 269 - Advanced Computational Fluid Dynamics,AE 269,AE,"Advanced topics in computational fluid dynamics and numerical techniques to solve the Euler and Navier-Stockes equations. The student will use MatLAB, grid generation, CFD and visualization software for homework, and projects.",3 unit(s),Letter Graded,C-,BS in Aerospace Engineering or BS in Mechanical Engineering or instructor consent.,,,,,Upper,
114806,13,AE 264 - Gas Dynamics,AE 264,AE,"Advanced topics in compressible flow theory with emphasis on the design of high subsonic, supersonic and hypersonic vehicles. In addition to classical compressible flow theory and problem solving, the course may include supersonic wind tunnel experiments and computer simulations.",3 unit(s),Letter Graded,C-,BS in Aerospace Engineering or BS in Mechanical Engineering or instructor consent.,,,,,Upper,
114807,13,AE 210 - Advanced Space Systems Engineering,AE 210,AE,"Overview of the engineering process used in aerospace mission and system design spanning the entire system life cycle for the near-Earth and outer space environment. Effects of gravity field, temperature and radiation on physical systems and the human organism. Mission program inception, proposal development, cost analysis and risk management.",3 unit(s),Letter Graded,C-,BS in Aerospace Engineering or instructor consent.,,,,GWAR: Graduation Writing Assessment Requirement.,Upper,This course satisfies graduate-level GWAR in this master\u2019s program.
114808,13,HIST 170S - Topics in American History: American Identities and Institutions,HIST 170S,HIST,"An investigation in depth of selected periods or problems. This topic focuses on historical relationships between social groups and the political, social, economic and cultural institutions they created.",3 unit(s),Letter Graded,C-,"Passage of the Writing Skills Test (WST) or ENGL 100A / LLD 100A with a C or better (C- not accepted), completion of Core General Education and upper division standing are prerequisites to all SJSU studies courses. Completion of, or co-registration in, 100W is strongly recommended.",,,,"SJSU Studies S+US1: Self, Society & Equality in the U.S. + American History.",Upper,All of SJSU Studies courses require completion of the WST and upper division standing.
114809,13,POLS 170V - American Politics in Global Perspective,POLS 170V,POLS,"A survey of U.S. and California political institutions and culture in comparison with political institutions and cultures outside the U.S., as well as American Institutions Requirement: US2 and US3.",3 unit(s),Letter Graded,C-,"Passage of the Writing Skills Test (WST) or ENGL 100A / LLD 100A with a C or better (C- not accepted), completion of Core General Education and upper division standing are prerequisites to all SJSU studies courses. Completion of, or co-registration in, 100W is strongly recommended.",,,,SJSU Studies V + US23: Cultures and Global Understanding. + US Constitution and California Government.,Upper,All of SJSU Studies courses require completion of the WST and upper division standing.
114810,13,CCS 74 - Public Address,CCS 74,CCS,Techniques of effective oral communication. Principles of rhetoric through analysis and critique of contemporary issues concerning Mexican Americans.,3 unit(s),Letter Graded,C-,,,,,A1: Oral Communication.,Lower,
114811,13,AE 160 - Aerodynamics I,AE 160,AE,"Introduction to incompressible, inviscid and viscous aerodynamics through problem solving, computer simulations, water and wind-tunnel experiments, films, and service learning. Topics include aerodynamic forces and moments, flow classification and similarity, conservation laws with applications in the calculation of lift and drag, and boundary layer theory with emphasis on calculation of skin friction and pressure drag.",3 unit(s),Letter Graded,C-,\u201cC\u201d or better in (MATH 31 or MATH 31X ) and PHYS 50 or graduate standing.,ENGR 100W.,,,,Upper,
114812,13,AE 1290R - Culminating Experience Supervision,AE 1290R,AE,"Continued work on thesis or project beyond minimum required units, for cases in which final deliverables are still in progress.",1 unit(s),Credit/No Credit/No Degree Credit,C-,RP grade in a preceding thesis or project semester.,,,,,Lower,No Degree Credit.
114813,13,AE 20 - Computer-Aided Design for Aerospace Engineers,AE 20,AE,Introduction to the fundamentals of drafting and computer-aided design with applications in aircraft and spacecraft design.,2 unit(s),Letter Graded,C-,,,,,,Lower,
114814,13,AE 30 - Computer Programming for Aerospace Engineers,AE 30,AE,"C language: Variables, data types, operators, functions, modular programming, input/output sequence, pointers and memory addressing, external libraries, dynamic memory allocation. MATLAB: Variables, scripts, operations, visualization, plotting and programming. Equation solving and curve fitting. Symbolics, Simulink and I/O building block.",2 unit(s),Letter Graded,C-,,,,,,Lower,
114815,13,AE 112 - Aerospace Structural Analysis I,AE 112,AE,"Aircraft loads, V-n diagram; spacecraft boost loads. Free-body diagrams, 2-D and 3-D force and moment equilibrium. Centroid and area moment of inertia. Shear force and bending moment diagrams; cantilevered wings &amp; internal support structures; stress/strain relationships; Mohr&#8217;s Circle. Experimental strain measurement.",4 unit(s),Letter Graded,C-,\u201cC\u201d or better in PHYS 50 and (MATH 31 or MATH 31X ) or graduate standing.,,,,,Upper,
114816,13,AE 157 - Aerospace Automatic Control Systems Design,AE 157,AE,"Modeling and analysis of aerospace feedback control systems. Stability analysis, root locus design, and frequency response methods for aerospace vehicles and associated automatic control systems. Nyquist/Bode diagrams. Lead-lag, PID compensator designs for aircraft and spacecraft.",3 unit(s),Letter Graded,C-,"\u201cC\u201d or better in MATH 33A, MATH 39, and AE 138 or graduate standing.",,,,,Upper,
114817,13,AE 200 - Engineering Analysis of Aerospace Systems,AE 200,AE,"Advanced engineering mathematics including linear algebra, Ordinary Differential Equations (ODEs), Fourier analysis, Partial Differential Equations (PDEs) and numerical methods with applications in Aerospace Engineering.",3 unit(s),Letter Graded,C-,BS in Aerospace Engineering or instuctor consent.,,,,,Upper,
114818,13,AE 273 - Aircraft Subsystems,AE 273,AE,Aircraft subsystem analysis and design: flight controls; avionics and electrical systems; cabin systems; landing gear and other mechanical systems; systems safety analysis.,3 unit(s),Letter Graded,C-,BS in Aerospace Engineering or instructor consent.,,,,GWAR: Graduation Writing Assessment Requirement.,Upper,This course satisfies graduate-level GWAR in this master\u2019s program.
114819,13,AE 280 - Hypersonics and Reentry Systems,AE 280,AE,"Fundamental principles of hypersonic aerodynamics. Development of important theory and techniques, discussion of salient results with emphasis on physical aspects, and presentation of modern thinking on the subject.",3 unit(s),Letter Graded,C-,BS Aerospace Engineering or instructor consent.,,,,,Upper,
114820,13,AE 297 - Special Topics in Aerospace Engineering,AE 297,AE,Special topics that are currently of interest to industry and academia. Content varies from semester to semester. Repeatable for up to six units.,1-4 unit(s),Letter Graded,C-,Graduate Standing or instructor consent,,,,,Upper,
114821,13,AE 92 - International Program Studies,AE 92,AE,"Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.",1-12 unit(s),Mixed Grading,C-,,,,,,Lower,
114822,13,AE 138 - Vector-Based Dynamics for Aerospace Applications,AE 138,AE,"Vector mechanics of three degree-of-freedom particle motion. Particle kinematics, reference frames and rotational relative motion. Two degree-of-freedom rigid body motion, moments/products of inertia. Particle &amp; rigid body equations of motion and numerical time histories.",3 unit(s),Letter Graded,C-,\u201cC\u201d or better in (MATH 32 or MATH 32X ) and PHYS 50.,AE 112.,,,,Upper,
114823,13,"AE 15 - Air & Space Flight: Past, Present, and Future",AE 15,AE,"Introduction to the history, basic principles, current and future developments of the aerospace engineering field through projects, guest speakers and field trips.",1 unit(s),Letter Graded,C-,,,,,,Lower,
114824,13,AE 199 - Special Topics in Aerospace Engineering,AE 199,AE,Special topics that are currently of interest to industry and academia. Content varies from semester to semester.,1-4 unit(s),Letter Graded,C-,Upper division standing or instructor consent,,,,,Upper,
114825,13,AE 142 - Astrodynamics,AE 142,AE,Two-body problem analysis and orbit design; Kepler&#8217;s Laws; Single-impulse orbit transfers; Hohmann transfers; Circularization; Plane changes; Kepler&#8217;s Equation; Planetary sphere of influence; Vector mechanics and relative motion of interplanetary flight; Patched conic trajectory model; Gravity-assist trajectories; Case studies; Restricted three-body problem.,3 unit(s),Letter Graded,C-,\u201cC\u201d or better in AE 138 or graduate standing.,,,,,Upper,
114826,13,AE 166 - Rocketry,AE 166,AE,"Introduction to rocketry through theory, computer simulations, and development / launch of an amateur level rocket. Topics include basic principles of aerodynamics, vehicle structures, rocket propulsion, flight mechanics, avionics, as well as past and current launch vehicle technologies.",3 unit(s),Letter Graded,C-,\u201cC\u201d or better in AE 100 or AE 165.,,,,,Upper,
114827,13,AE 173 - Uncrewed Air Vehicle Design,AE 173,AE,Introduction of uncrewed aircraft systems (UAS) and relevant design and operation considerations. Vehicle dynamics and flight controls. UAS flight path planning and optimization. Computer simulations.,3 unit(s),Letter Graded,C-,AE 30,AE 168,,,,Upper,
114828,13,AE 100 - Fundamentals of Aerospace Engineering,AE 100,AE,"Introduction to the fundamental disciplines and concepts of aerospace engineering and in particular of aerodynamics, aerospace structures, stability and control, propulsion, and flight mechanics.",3 unit(s),Letter Graded,C-,C\u201d or better in (MATH 30 or MATH 30X ) and PHYS 50 or graduate standing.,,,,,Upper,
114829,13,AE 192 - International Program Studies,AE 192,AE,"Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.",1-12 unit(s),Mixed Grading,C-,,,,,,Upper,
114830,13,COMM 20 - Public Speaking,COMM 20,COMM,"Principles of rhetoric applied to oral communication; selecting, analyzing, adapting, organizing and delivering ideas effectively.",3 unit(s),Letter Graded,C-,,,,,A1: Oral Communication.,Lower,
114831,13,COMM 20N - Public Speaking for Nonnative Speakers,COMM 20N,COMM,Public speaking for the nonnative speaker. Course content identical to COMM 20 with intercultural emphasis.,3 unit(s),Letter Graded,C-,English Language Learners/nonnative speakers,,,,A1: Oral Communication.,Lower,
114832,13,AFAM 22 - The Humanities in African American Culture,AFAM 22,AFAM,"Analysis of several of the most important African American creative art forms and personalities. Special attention to Black contributions in music, literature, cinema, photography and painting.",3 unit(s),Letter Graded,C-,,,,,F: Ethnic Studies.,Lower,
114833,13,AFAM 40 - African Origins,AFAM 40,AFAM,"Ancient African civilizations to the advent of the slave trade. Folklore and mythology manifested in ceremonies, rituals and rhythmic movements are examined.",3 unit(s),Letter Graded,C-,,,,,,Lower,
114834,13,COMM 40 - Argumentation and Advocacy,COMM 40,COMM,Principles of inquiry and advocacy in public discussion and necessary basic skills for intelligent participation in discussion and debate.,3 unit(s),Letter Graded,C-,,,,,A1: Oral Communication.,Lower,
114835,13,AFAM 102 - Black Music,AFAM 102,AFAM,"Analysis of styles and techniques of major traditions in Black music. Development of music from slave work-a-day songs to rhythm and blues and modern jazz, 1950&#8217;s to the present.",3 unit(s),Letter Graded,C-,Upper division standing or instructor consent.,,,,,Upper,
